East_m,North_m,Depth_m
568151.741,4470752.414,3.197
568150.962,4470752.511,3.183
568150.169,4470752.588,3.098
568149.392,4470752.681,3.089
568148.662,4470752.791,3.079
568148.023,4470752.963,3.072
568147.446,4470753.192,3.027
568146.907,4470753.403,2.999
568146.364,4470753.625,2.928
568145.788,4470753.823,2.889
568145.239,4470754.05,2.887
568144.695,4470754.27,2.881
568144.078,4470754.483,2.885
568143.451,4470754.694,2.872
568142.85,4470754.934,2.845
568142.212,4470755.162,2.839
568141.487,4470755.336,2.845
568140.679,4470755.498,2.858
568139.861,4470755.627,2.884
568139.065,4470755.771,2.828
568138.275,4470755.903,2.871
568137.479,4470756.023,2.904
568136.677,4470756.156,2.935
568135.905,4470756.35,2.948
568135.202,4470756.602,2.98
568134.549,4470756.879,2.974
568133.892,4470757.17,2.96
568133.247,4470757.477,2.902
568132.62,4470757.819,2.874
568131.989,4470758.099,2.891
568131.353,4470758.374,2.862
568130.698,4470758.623,2.851
568130.022,4470758.831,2.798
568129.33,4470759.021,2.813
568128.592,4470759.2,2.842
568127.783,4470759.356,2.858
568126.985,4470759.49,2.859
568126.207,4470759.632,2.721
568125.439,4470759.8,2.726
568124.699,4470759.992,2.762
568124.017,4470760.244,2.78
568123.43,4470760.574,2.767
568122.847,4470760.946,2.713
568122.276,4470761.39,2.713
568121.715,4470761.814,2.704
568121.132,4470762.225,2.697
568120.529,4470762.575,2.648
568119.886,4470762.9,2.629
568119.246,4470763.241,2.628
568118.618,4470763.583,2.65
568118.003,4470763.945,2.651
568117.395,4470764.316,2.644
568116.813,4470764.698,2.605
568116.217,4470765.075,2.625
568115.579,4470765.441,2.588
568114.891,4470765.78,2.604
568114.196,4470766.098,2.602
568113.464,4470766.411,2.589
568112.729,4470766.71,2.513
568111.942,4470766.978,2.571
568111.155,4470767.228,2.566
568110.358,4470767.461,2.522
568109.575,4470767.668,2.44
568108.795,4470767.849,2.526
568108.036,4470768.044,2.45
568107.298,4470768.271,2.507
568106.562,4470768.505,2.513
568105.824,4470768.753,2.481
568105.112,4470769.007,2.431
568104.414,4470769.274,2.437
568103.745,4470769.568,2.441
568103.052,4470769.914,2.414
568102.35,4470770.307,2.418
568101.599,4470770.758,2.412
568100.843,4470771.252,2.4
568100.141,4470771.769,2.371
568099.381,4470772.287,2.305
568098.671,4470772.784,2.296
568097.958,4470773.25,2.331
568097.226,4470773.651,2.266
568096.504,4470774.022,2.191
568095.761,4470774.356,2.217
568095.006,4470774.66,2.236
568094.298,4470774.96,2.183
568093.617,4470775.296,2.112
568092.904,4470775.596,2.117
568092.144,4470775.88,2.092
568091.382,4470776.138,2.034
568090.651,4470776.382,1.965
568089.944,4470776.64,1.927
568089.279,4470776.924,1.837
568088.62,4470777.203,1.728
568087.94,4470777.483,1.663
568087.283,4470777.76,1.557
568086.63,4470778.049,1.439
568086.045,4470778.354,1.426
568085.524,4470778.69,1.38
568085.045,4470779.011,1.368
568084.516,4470779.329,1.314
568084.01,4470779.576,1.311
568083.53,4470779.787,1.276
568083.092,4470779.944,1.215
568082.719,4470780.083,1.253
568082.637,4470780.422,1.238
568083.056,4470780.382,1.242
568083.502,4470780.344,1.256
568083.976,4470780.295,1.237
568084.406,4470780.292,1.271
568084.794,4470780.32,1.342
568085.084,4470780.353,1.388
568085.32,4470780.424,1.396
568085.459,4470780.456,1.398
568085.52,4470780.455,1.401
568085.501,4470780.472,1.393
568085.408,4470780.518,1.383
568085.31,4470780.545,1.388
568085.21,4470780.57,1.378
568085.098,4470780.569,1.375
568084.989,4470780.571,1.378
568084.866,4470780.559,1.342
568084.744,4470780.585,1.312
568084.655,4470780.651,1.301
568084.588,4470780.714,1.278
568084.542,4470780.778,1.235
568084.497,4470780.825,1.223
568084.516,4470780.901,1.222
568084.6,4470781.052,1.228
568084.674,4470781.185,1.268
568084.721,4470781.274,1.296
568084.779,4470781.396,1.293
568084.859,4470781.554,1.289
568084.933,4470781.705,1.307
568028.354,4470659.534,2.312
568028.353,4470659.505,2.319
568028.342,4470659.504,2.32
568028.339,4470659.542,2.326
568028.359,4470659.7,2.289
568028.475,4470659.938,2.279
568028.57,4470660.254,2.276
568028.659,4470660.592,2.26
568028.75,4470660.929,2.256
568028.818,4470661.248,2.237
568028.891,4470661.527,2.25
568028.98,4470661.786,2.25
568029.091,4470661.99,2.237
568029.218,4470662.168,2.234
568029.376,4470662.337,2.188
568029.579,4470662.571,2.156
568029.846,4470662.864,2.146
568030.149,4470663.193,2.097
568030.472,4470663.5,2.066
568030.769,4470663.787,2.023
568031.062,4470663.995,1.964
568031.348,4470664.158,1.921
568031.8,4470664.243,1.837
568032.46,4470664.16,1.791
568033.125,4470663.998,1.691
568033.795,4470663.782,1.627
568034.396,4470663.543,1.577
568035.106,4470663.259,1.508
568035.939,4470662.889,1.452
568036.819,4470662.487,1.405
568037.694,4470662.107,1.383
568038.505,4470661.747,1.27
568039.251,4470661.482,1.15
568039.905,4470661.192,1.164
568040.484,4470660.985,1.178
568040.975,4470660.775,1.129
568041.469,4470660.535,1.1
568041.895,4470660.249,1.076
568042.302,4470659.931,1.108
568042.654,4470659.533,1.11
568042.941,4470659.067,1.132
568043.182,4470658.556,1.207
568043.45,4470658.056,1.117
568043.815,4470657.492,1.16
568044.274,4470656.807,1.132
568044.774,4470656.031,1.187
568045.301,4470655.24,1.142
568045.86,4470654.457,1.207
568046.422,4470653.694,1.179
568046.945,4470652.962,1.212
568047.428,4470652.284,1.268
568047.942,4470651.636,1.286
568048.44,4470651.032,1.316
568048.966,4470650.454,1.311
568049.487,4470649.952,1.357
568049.978,4470649.517,1.375
568050.515,4470649.082,1.349
568051.069,4470648.779,1.319
568051.642,4470648.584,1.393
568052.292,4470648.477,1.372
568053.012,4470648.407,1.403
568053.832,4470648.353,1.405
568054.696,4470648.306,1.431
568055.47,4470648.345,1.447
568056.151,4470648.466,1.461
568056.79,4470648.536,1.51
568057.393,4470648.582,1.515
568057.888,4470648.648,1.515
568058.332,4470648.653,1.513
568058.832,4470648.639,1.485
568059.458,4470648.523,1.543
568060.196,4470648.322,1.556
568060.975,4470648.115,1.574
568061.809,4470647.841,1.59
568062.543,4470647.606,1.594
568063.244,4470647.339,1.666
568063.919,4470647.029,1.717
568064.544,4470646.768,1.717
568065.217,4470646.487,1.692
568065.933,4470646.172,1.689
568066.707,4470645.867,1.735
568067.499,4470645.525,1.753
568068.25,4470645.272,1.785
568069.014,4470645.019,1.778
568069.765,4470644.748,1.808
568070.476,4470644.543,1.854
568071.147,4470644.289,1.852
568071.787,4470644.063,1.865
568072.431,4470643.854,1.895
568073.026,4470643.68,1.908
568073.641,4470643.51,1.893
568074.234,4470643.323,1.934
568074.846,4470643.103,1.938
568075.461,4470642.909,1.913
568076.103,4470642.65,1.906
568076.753,4470642.308,1.949
568077.311,4470641.977,1.99
568077.832,4470641.586,1.967
568078.374,4470641.147,1.974
568078.949,4470640.732,1.954
568079.573,4470640.282,2.01
568080.213,4470639.876,2.028
568080.853,4470639.499,2.059
568081.489,4470639.103,2.094
568082.1,4470638.702,2.092
568082.664,4470638.355,2.112
568083.243,4470638.001,2.128
568083.768,4470637.638,2.123
568084.371,4470637.243,2.11
568085.008,4470636.863,2.158
568085.678,4470636.51,2.191
568086.374,4470636.181,2.186
568087.079,4470635.809,2.266
568087.728,4470635.438,2.256
568088.333,4470635.131,2.266
568088.825,4470634.879,2.3
568089.281,4470634.65,2.28
568089.663,4470634.45,2.293
568090.052,4470634.26,2.312
568090.508,4470634.032,2.328
568090.97,4470633.782,2.333
568091.409,4470633.591,2.351
568091.884,4470633.442,2.356
568092.378,4470633.282,2.404
568092.859,4470633.089,2.391
568093.324,4470632.878,2.421
568093.793,4470632.648,2.425
568094.309,4470632.411,2.431
568094.87,4470632.102,2.438
568095.474,4470631.795,2.438
568096.101,4470631.469,2.42
568096.755,4470631.12,2.405
568097.441,4470630.794,2.391
568098.065,4470630.464,2.401
568098.677,4470630.104,2.399
568099.253,4470629.775,2.378
568099.784,4470629.478,2.391
568100.35,4470629.183,2.384
568100.957,4470628.861,2.443
568101.62,4470628.526,2.431
568102.253,4470628.23,2.428
568102.916,4470627.915,2.391
568103.61,4470627.617,2.414
568104.353,4470627.31,2.404
568105.091,4470627.039,2.325
568105.849,4470626.729,2.315
568106.576,4470626.443,2.286
568107.27,4470626.233,2.289
568107.935,4470626.082,2.279
568108.576,4470625.939,2.276
568109.222,4470625.785,2.234
568109.863,4470625.623,2.236
568110.532,4470625.488,2.25
568111.09,4470625.364,2.194
568111.643,4470625.249,2.24
568112.212,4470625.128,2.224
568112.831,4470624.941,2.256
568113.538,4470624.766,2.246
568114.297,4470624.625,2.251
568115.074,4470624.526,2.244
568115.879,4470624.358,2.217
568116.678,4470624.15,2.179
568117.411,4470623.902,2.179
568118.084,4470623.656,2.224
568118.705,4470623.414,2.239
568119.304,4470623.134,2.194
568119.887,4470622.846,2.19
568120.439,4470622.53,2.22
568121.051,4470622.215,2.214
568121.661,4470621.916,2.176
568122.311,4470621.6,2.21
568123.036,4470621.244,2.197
568123.708,4470620.929,2.176
568124.449,4470620.613,2.107
568125.153,4470620.346,2.089
568125.794,4470620.108,2.077
568126.409,4470619.908,1.954
568126.963,4470619.685,1.956
568127.418,4470619.499,1.895
568127.836,4470619.37,1.86
568128.22,4470619.197,1.766
568128.618,4470619.019,1.664
568129.069,4470618.856,1.605
568129.548,4470618.678,1.533
568130.01,4470618.471,1.436
568130.52,4470618.303,1.321
568131.041,4470618.179,1.301
568131.606,4470618.116,1.265
568132.282,4470618.066,1.15
568132.985,4470618.068,1.091
568133.596,4470618.089,1.118
568134.221,4470618.082,1.122
568134.808,4470618.12,1.055
568135.343,4470618.202,1.108
568135.785,4470618.37,1.095
568136.159,4470618.522,1.072
568136.367,4470618.719,0.997
568136.464,4470618.933,1.013
568136.438,4470619.096,1.03
568136.27,4470619.213,1.029
568136.01,4470619.326,1.057
568135.693,4470619.38,1.035
568135.3,4470619.445,1.052
568134.797,4470619.607,1.073
568134.261,4470619.816,1.081
568133.675,4470620.045,1.169
568133.026,4470620.259,1.247
568132.278,4470620.464,1.378
568131.473,4470620.618,1.446
568130.627,4470620.825,1.525
568129.741,4470621.009,1.686
568128.802,4470621.144,1.847
568127.799,4470621.253,1.949
568126.79,4470621.299,2.046
568125.783,4470621.353,2.097
568124.784,4470621.447,2.166
568123.794,4470621.581,2.181
568122.831,4470621.702,2.205
568121.829,4470621.862,2.169
568120.901,4470622.08,2.207
568120.008,4470622.341,2.197
568119.153,4470622.63,2.234
568118.287,4470622.93,2.23
568117.362,4470623.209,2.214
568116.381,4470623.466,2.231
568115.321,4470623.631,2.284
568114.226,4470623.721,2.261
568113.117,4470623.7,2.234
568111.988,4470623.62,2.246
568110.877,4470623.547,2.224
568109.78,4470623.519,2.226
568108.688,4470623.548,2.224
568107.607,4470623.637,2.197
568106.605,4470623.802,2.259
568105.545,4470623.963,2.292
568104.448,4470624.057,2.306
568103.362,4470624.152,2.312
568102.288,4470624.226,2.375
568101.208,4470624.287,2.408
568100.175,4470624.389,2.401
568099.128,4470624.484,2.388
568098.016,4470624.563,2.414
568096.87,4470624.637,2.414
568095.717,4470624.678,2.401
568094.629,4470624.721,2.399
568093.53,4470624.708,2.382
568092.432,4470624.643,2.368
568091.302,4470624.578,2.303
568090.204,4470624.513,2.273
568089.139,4470624.475,2.309
568088.149,4470624.473,2.273
568087.187,4470624.537,2.244
568086.299,4470624.665,2.254
568085.37,4470624.852,2.197
568084.418,4470625.045,2.156
568083.439,4470625.269,2.181
568082.434,4470625.451,2.143
568081.429,4470625.582,2.151
568080.39,4470625.672,2.118
568079.283,4470625.713,2.048
568078.264,4470625.792,2.084
568077.289,4470625.954,2.046
568076.394,4470626.196,2.018
568075.489,4470626.469,2.015
568074.489,4470626.724,1.988
568073.495,4470626.979,1.936
568072.49,4470627.2,1.893
568071.464,4470627.436,1.888
568070.451,4470627.698,1.794
568069.421,4470627.947,1.844
568068.348,4470628.189,1.798
568067.173,4470628.351,1.765
568065.923,4470628.436,1.776
568064.665,4470628.453,1.755
568063.405,4470628.457,1.727
568062.273,4470628.536,1.692
568061.167,4470628.655,1.699
568059.993,4470628.793,1.666
568058.914,4470629.01,1.651
568057.873,4470629.242,1.628
568056.795,4470629.464,1.62
568055.672,4470629.641,1.625
568054.567,4470629.812,1.561
568053.505,4470630.009,1.574
568052.467,4470630.23,1.487
568051.373,4470630.468,1.503
568050.268,4470630.736,1.459
568049.201,4470631.002,1.482
568048.163,4470631.289,1.484
568047.158,4470631.61,1.426
568046.205,4470631.977,1.457
568045.187,4470632.377,1.441
568044.294,4470632.844,1.423
568043.426,4470633.363,1.416
568042.575,4470633.927,1.431
568041.731,4470634.553,1.401
568040.821,4470635.142,1.459
568039.922,4470635.714,1.461
568038.985,4470636.246,1.429
568038.09,4470636.801,1.539
568037.235,4470637.383,1.546
568036.436,4470638.047,1.536
568035.708,4470638.699,1.558
568035.038,4470639.297,1.571
568034.378,4470639.864,1.574
568033.692,4470640.404,1.615
568032.959,4470640.913,1.711
568032.147,4470641.376,1.793
568031.367,4470641.747,1.85
568030.652,4470642.144,1.916
568029.865,4470642.54,2
568029.065,4470642.919,2.089
568028.297,4470643.302,2.179
568027.589,4470643.698,2.263
568026.958,4470644.119,2.289
568026.456,4470644.469,2.322
568026.035,4470644.815,2.322
568025.703,4470645.173,2.319
568025.485,4470645.501,2.414
568025.308,4470645.854,2.408
568025.186,4470646.204,2.388
568025.142,4470646.543,2.369
568025.145,4470646.876,2.376
568025.217,4470647.239,2.388
568025.319,4470647.556,2.386
568025.429,4470647.867,2.401
568025.596,4470648.107,2.407
568025.835,4470648.294,2.376
568026.124,4470648.487,2.368
568026.485,4470648.701,2.355
568026.912,4470648.941,2.282
568027.375,4470649.188,2.299
568027.858,4470649.394,2.306
568028.334,4470649.566,2.261
568028.79,4470649.756,2.244
568029.33,4470649.909,2.153
568029.858,4470650.087,2.135
568030.367,4470650.253,2.082
568030.886,4470650.357,2.01
568031.418,4470650.438,1.923
568032.023,4470650.519,1.9
568032.681,4470650.605,1.803
568033.376,4470650.65,1.768
568034.094,4470650.678,1.706
568034.828,4470650.707,1.656
568035.538,4470650.726,1.584
568036.162,4470650.755,1.533
568036.724,4470650.747,1.533
568037.238,4470650.705,1.521
568037.677,4470650.659,1.414
568038.032,4470650.646,1.365
568038.353,4470650.589,1.405
568038.643,4470650.554,1.408
568039,4470650.471,1.41
568039.417,4470650.333,1.398
568039.828,4470650.258,1.388
568040.299,4470650.207,1.309
568040.715,4470650.198,1.288
568041.174,4470650.146,1.265
568041.652,4470650.079,1.27
568042.131,4470650.031,1.232
568042.615,4470649.94,1.266
568043.1,4470649.83,1.28
568043.514,4470649.757,1.26
568043.919,4470649.657,1.23
568044.287,4470649.562,1.235
568044.608,4470649.424,1.235
568044.949,4470649.292,1.234
568045.301,4470649.175,1.183
568045.678,4470649.053,1.229
568046.046,4470648.941,1.262
568046.421,4470648.851,1.242
568046.895,4470648.667,1.27
568047.415,4470648.482,1.367
568047.907,4470648.332,1.345
568048.382,4470648.24,1.309
568048.855,4470648.063,1.306
568049.258,4470647.894,1.314
568049.621,4470647.731,1.304
568049.967,4470647.567,1.291
568050.285,4470647.39,1.314
568050.618,4470647.255,1.388
568051.009,4470647.072,1.365
568051.458,4470646.813,1.344
568051.948,4470646.547,1.342
568052.421,4470646.314,1.368
568052.904,4470646.059,1.372
568053.365,4470645.798,1.428
568053.827,4470645.569,1.421
568054.314,4470645.304,1.464
568054.813,4470644.997,1.485
568055.261,4470644.724,1.477
568055.671,4470644.476,1.452
568056.094,4470644.218,1.482
568056.488,4470643.946,1.457
568056.917,4470643.641,1.485
568057.347,4470643.418,1.5
568057.718,4470643.227,1.538
568058.167,4470642.995,1.559
568058.597,4470642.73,1.505
568058.993,4470642.494,1.538
568059.391,4470642.256,1.535
568059.771,4470642.04,1.554
568060.164,4470641.785,1.569
568060.589,4470641.517,1.597
568061.097,4470641.227,1.607
568061.622,4470640.931,1.648
568062.148,4470640.637,1.632
568062.64,4470640.37,1.646
568063.04,4470640.184,1.666
568063.426,4470639.949,1.714
568063.86,4470639.697,1.696
568064.306,4470639.562,1.701
568064.699,4470639.468,1.75
568065.142,4470639.332,1.707
568065.61,4470639.181,1.727
568066.098,4470638.977,1.747
568066.603,4470638.803,1.798
568067.064,4470638.638,1.742
568067.571,4470638.471,1.791
568068.059,4470638.288,1.803
568068.585,4470638.075,1.791
568069.144,4470637.813,1.816
568069.64,4470637.593,1.87
568070.116,4470637.374,1.862
568070.594,4470637.135,1.84
568071.086,4470636.864,1.829
568071.566,4470636.576,1.919
568072.071,4470636.284,1.895
568072.6,4470635.943,1.859
568073.139,4470635.611,1.875
568073.669,4470635.279,1.918
568074.188,4470634.969,1.941
568074.665,4470634.637,1.949
568075.154,4470634.266,1.926
568075.645,4470633.886,1.998
568076.161,4470633.531,2.013
568076.68,4470633.163,2.015
568077.307,4470632.743,1.965
568077.961,4470632.365,2.041
568078.638,4470631.997,2.033
568079.293,4470631.593,2.03
568079.907,4470631.271,2.071
568080.492,4470630.924,2.079
568081.105,4470630.589,2.127
568081.714,4470630.233,2.13
568082.307,4470629.944,2.146
568082.927,4470629.627,2.156
568083.592,4470629.311,2.153
568084.3,4470628.988,2.179
568085.009,4470628.688,2.176
568085.701,4470628.414,2.184
568086.322,4470628.223,2.217
568086.892,4470628.044,2.233
568087.447,4470627.877,2.256
568087.978,4470627.667,2.282
568088.452,4470627.487,2.274
568088.875,4470627.341,2.287
568089.277,4470627.212,2.305
568089.732,4470627.077,2.313
568090.216,4470626.956,2.326
568090.797,4470626.821,2.336
568091.357,4470626.699,2.355
568091.881,4470626.56,2.372
568092.408,4470626.4,2.375
568092.909,4470626.281,2.384
568093.452,4470626.167,2.398
568094.027,4470626.072,2.411
568094.696,4470625.983,2.414
568095.432,4470625.875,2.395
568096.202,4470625.771,2.425
568096.954,4470625.696,2.431
568097.692,4470625.586,2.422
568098.408,4470625.498,2.372
568099.09,4470625.407,2.388
568099.756,4470625.348,2.386
568100.506,4470625.209,2.388
568101.334,4470625.001,2.382
568102.187,4470624.808,2.379
568103.064,4470624.663,2.329
568103.902,4470624.523,2.348
568104.779,4470624.383,2.295
568105.616,4470624.237,2.276
568106.497,4470624.062,2.243
568107.373,4470623.876,2.214
568108.193,4470623.78,2.201
568109.009,4470623.68,2.236
568109.816,4470623.551,2.217
568110.633,4470623.44,2.203
568111.462,4470623.286,2.234
568112.297,4470623.107,2.234
568113.088,4470622.855,2.241
568113.797,4470622.608,2.228
568114.476,4470622.295,2.25
568115.204,4470621.967,2.21
568115.977,4470621.634,2.181
568116.793,4470621.331,2.188
568117.663,4470621.017,2.186
568118.521,4470620.717,2.168
568119.374,4470620.427,2.188
568120.245,4470620.174,2.233
568121.107,4470619.912,2.243
568121.929,4470619.724,2.173
568122.754,4470619.515,2.186
568123.576,4470619.286,2.186
568124.41,4470618.985,2.127
568125.23,4470618.624,2.079
568125.992,4470618.347,1.926
568126.759,4470618.079,1.903
568127.527,4470617.786,1.783
568128.242,4470617.521,1.701
568128.982,4470617.267,1.589
568129.715,4470617.09,1.396
568130.497,4470616.977,1.314
568131.274,4470616.996,1.253
568132.022,4470617.031,1.225
568132.76,4470617.077,1.158
568133.299,4470617.136,1.133
568133.71,4470617.306,1.089
568134,4470617.461,1.109
568134.155,4470617.615,1.109
568134.162,4470617.796,1.095
568134.021,4470617.972,1.095
568133.744,4470618.143,1.154
568133.367,4470618.361,1.182
568132.977,4470618.611,1.197
568132.515,4470618.941,1.222
568132.007,4470619.321,1.352
568131.422,4470619.699,1.4
568130.824,4470620.116,1.523
568130.279,4470620.574,1.625
568129.755,4470621.109,1.747
568129.203,4470621.611,1.918
568128.51,4470622.056,1.974
568127.726,4470622.415,2.051
568126.85,4470622.683,2.087
568125.903,4470622.889,2.161
568124.974,4470623.13,2.161
568123.975,4470623.401,2.171
568122.921,4470623.645,2.179
568121.907,4470623.918,2.237
568120.884,4470624.218,2.227
568119.906,4470624.477,2.174
568118.917,4470624.734,2.217
568117.862,4470624.951,2.227
568116.757,4470625.161,2.233
568115.603,4470625.308,2.24
568114.386,4470625.384,2.221
568113.141,4470625.384,2.231
568111.88,4470625.315,2.247
568110.6,4470625.216,2.251
568109.347,4470625.137,2.259
568108.099,4470625.125,2.249
568106.863,4470625.117,2.263
568105.618,4470625.148,2.316
568104.408,4470625.204,2.358
568103.218,4470625.263,2.359
568101.956,4470625.292,2.405
568100.693,4470625.283,2.394
568099.432,4470625.197,2.394
568098.22,4470625.069,2.427
568097.046,4470624.948,2.435
568095.9,4470624.877,2.425
568094.774,4470624.822,2.425
568093.722,4470624.757,2.402
568092.73,4470624.701,2.359
568091.777,4470624.674,2.332
568090.897,4470624.68,2.307
568090.118,4470624.717,2.322
568089.412,4470624.841,2.323
568088.742,4470624.996,2.28
568088.1,4470625.177,2.27
568087.425,4470625.385,2.256
568086.765,4470625.59,2.228
568086.08,4470625.797,2.208
568085.386,4470626.03,2.178
568084.655,4470626.219,2.184
568083.922,4470626.414,2.132
568083.231,4470626.611,2.156
568082.542,4470626.83,2.156
568081.897,4470627.068,2.113
568081.25,4470627.338,2.117
568080.565,4470627.592,2.135
568079.831,4470627.824,2.105
568079.088,4470628.031,2.076
568078.316,4470628.23,2.082
568077.551,4470628.445,2.084
568076.814,4470628.681,2.043
568076.062,4470628.939,1.992
568075.265,4470629.205,2
568074.483,4470629.481,1.962
568073.695,4470629.77,1.939
568072.853,4470630.044,1.86
568071.887,4470630.246,1.87
568070.847,4470630.357,1.855
568069.804,4470630.387,1.845
568068.77,4470630.374,1.806
568067.735,4470630.326,1.753
568066.738,4470630.303,1.816
568065.834,4470630.386,1.796
568065.001,4470630.499,1.753
568064.203,4470630.625,1.762
568063.433,4470630.8,1.719
568062.725,4470631.032,1.734
568062.049,4470631.288,1.722
568061.27,4470631.548,1.661
568060.479,4470631.76,1.651
568059.629,4470631.978,1.625
568058.819,4470632.246,1.627
568058.001,4470632.48,1.635
568057.094,4470632.681,1.6
568056.159,4470632.868,1.553
568055.156,4470633.048,1.525
568054.125,4470633.24,1.543
568053.063,4470633.43,1.479
568052.01,4470633.659,1.472
568050.981,4470633.867,1.482
568049.934,4470634.107,1.423
568048.973,4470634.382,1.413
568048.004,4470634.687,1.433
568046.938,4470634.951,1.398
568045.942,4470635.195,1.378
568044.99,4470635.486,1.398
568044.021,4470635.805,1.418
568043.074,4470636.107,1.423
568042.26,4470636.417,1.393
568041.477,4470636.787,1.424
568040.651,4470637.23,1.457
568039.961,4470637.691,1.418
568039.241,4470638.178,1.419
568038.435,4470638.649,1.469
568037.704,4470639.126,1.526
568036.943,4470639.567,1.508
568036.141,4470639.978,1.566
568035.36,4470640.351,1.617
568034.705,4470640.738,1.609
568033.948,4470641.17,1.635
568033.219,4470641.552,1.692
568032.544,4470641.951,1.773
568031.801,4470642.369,1.834
568031.183,4470642.815,1.831
568030.646,4470643.239,1.934
568030.087,4470643.708,1.997
568029.623,4470644.183,2.094
568029.169,4470644.64,2.128
568028.695,4470645.07,2.097
568028.309,4470645.51,2.201
568028.042,4470645.878,2.201
568027.82,4470646.257,2.273
568027.634,4470646.648,2.287
568027.409,4470646.984,2.296
568027.185,4470647.355,2.342
568026.963,4470647.675,2.355
568026.729,4470648.003,2.366
568026.497,4470648.331,2.369
568026.294,4470648.648,2.379
568026.145,4470648.983,2.375
568026.029,4470649.349,2.381
568025.966,4470649.674,2.398
568025.93,4470650.007,2.392
568025.947,4470650.312,2.382
568025.999,4470650.631,2.388
568026.049,4470651.021,2.365
568026.113,4470651.446,2.392
568026.221,4470651.824,2.375
568026.393,4470652.229,2.378
568026.678,4470652.629,2.349
568027.084,4470653.022,2.395
568027.62,4470653.365,2.385
568028.244,4470653.674,2.316
568028.969,4470653.974,2.273
568029.69,4470654.247,2.217
568030.448,4470654.441,2.127
568031.244,4470654.563,2.025
568032.039,4470654.676,1.913
568032.941,4470654.727,1.737
568033.889,4470654.682,1.676
568034.816,4470654.655,1.605
568035.706,4470654.583,1.493
568036.542,4470654.478,1.508
568037.321,4470654.423,1.408
568037.973,4470654.4,1.362
568038.529,4470654.377,1.334
568038.995,4470654.416,1.344
568039.43,4470654.416,1.34
568039.807,4470654.338,1.344
568040.237,4470654.26,1.27
568040.666,4470654.244,1.255
568041.122,4470654.238,1.245
568041.652,4470654.208,1.26
568042.178,4470654.209,1.235
568042.688,4470654.214,1.219
568043.173,4470654.243,1.235
568043.606,4470654.288,1.201
568043.981,4470654.341,1.207
568044.343,4470654.385,1.245
568044.734,4470654.384,1.253
568045.117,4470654.396,1.149
568045.495,4470654.42,1.18
568045.818,4470654.472,1.191
568046.14,4470654.445,1.183
568046.466,4470654.381,1.212
568046.756,4470654.34,1.215
568046.967,4470654.342,1.191
568047.23,4470654.324,1.192
568047.557,4470654.223,1.225
568047.93,4470654.104,1.245
568048.268,4470653.932,1.186
568048.6,4470653.764,1.234
568048.907,4470653.644,1.283
568049.22,4470653.489,1.303
568049.523,4470653.342,1.299
568049.809,4470653.199,1.304
568050.12,4470653.058,1.303
568050.438,4470652.871,1.306
568050.792,4470652.659,1.342
568051.074,4470652.484,1.363
568051.328,4470652.309,1.373
568051.611,4470652.097,1.352
568051.932,4470651.852,1.363
568052.341,4470651.606,1.347
568052.727,4470651.369,1.391
568053.11,4470651.139,1.388
568053.479,4470650.9,1.436
568053.807,4470650.673,1.438
568054.173,4470650.408,1.439
568054.519,4470650.147,1.413
568054.874,4470649.908,1.418
568055.283,4470649.674,1.38
568055.727,4470649.401,1.434
568056.156,4470649.147,1.503
568056.485,4470648.955,1.49
568056.801,4470648.728,1.497
568057.066,4470648.507,1.533
568057.327,4470648.299,1.507
568057.596,4470648.04,1.51
568057.886,4470647.79,1.474
568058.191,4470647.531,1.513
568058.537,4470647.234,1.536
568059.014,4470646.865,1.556
568059.542,4470646.518,1.559
568060.11,4470646.128,1.558
568060.701,4470645.783,1.539
568061.247,4470645.48,1.574
568061.717,4470645.138,1.589
568062.157,4470644.797,1.61
568062.485,4470644.48,1.612
568062.77,4470644.118,1.63
568063.042,4470643.796,1.648
568063.271,4470643.499,1.656
568063.563,4470643.175,1.673
568063.912,4470642.864,1.679
568064.317,4470642.582,1.724
568064.799,4470642.289,1.737
568065.337,4470641.933,1.688
568065.778,4470641.687,1.696
568066.173,4470641.455,1.684
568066.598,4470641.211,1.742
568066.926,4470640.987,1.74
568067.182,4470640.834,1.763
568067.435,4470640.676,1.776
568067.63,4470640.536,1.776
568067.823,4470640.387,1.786
568067.995,4470640.283,1.801
568068.146,4470640.111,1.763
568068.288,4470639.962,1.763
568068.417,4470639.863,1.791
568068.612,4470639.716,1.793
568068.791,4470639.582,1.817
568068.909,4470639.47,1.819
568069.042,4470639.368,1.791
568069.179,4470639.232,1.819
568069.369,4470639.053,1.827
568069.613,4470638.861,1.862
568069.9,4470638.673,1.86
568070.184,4470638.479,1.883
568070.448,4470638.334,1.906
568070.732,4470638.2,1.877
568071.043,4470638.077,1.885
568071.338,4470637.935,1.895
568071.607,4470637.792,1.86
568071.887,4470637.675,1.893
568072.14,4470637.607,1.918
568072.424,4470637.487,1.908
568072.749,4470637.354,1.941
568073.073,4470637.275,1.921
568073.446,4470637.202,1.891
568073.854,4470637.167,1.914
568074.275,4470637.067,1.924
568074.68,4470636.919,1.936
568075.036,4470636.8,1.959
568075.371,4470636.671,1.91
568075.758,4470636.523,1.954
568076.153,4470636.379,1.957
568076.633,4470636.236,2.005
568077.152,4470636.084,2.018
568077.621,4470635.948,1.982
568078.122,4470635.786,1.977
568078.638,4470635.594,1.984
568079.183,4470635.462,2.018
