East_m,North_m,Depth_m
567949.295,4470006.862,0.711
567949.958,4470006.994,0.89
567951.805,4470005.227,0.994
567951.465,4470004.801,0.845
567950.564,4470004.196,0.589
567950.036,4470004.128,0.4
567949.303,4470004.033,0.19
567949.474,4470001.524,0.144
567950.14,4470001.736,0.333
567950.764,4470001.91,0.62
567951.329,4470002.052,0.782
567951.866,4470002.181,0.834
567952.553,4470000.426,0.963
567952.144,4469999.921,0.744
567951.545,4469999.621,0.582
567951.04,4469999.445,0.387
567950.404,4469999.259,0.162
567951.156,4469996.818,0.089
567951.874,4469997.021,0.304
567952.543,4469996.995,0.522
567952.994,4469997.116,0.7
567953.393,4469997.269,0.813
567954.89,4469994.843,0.962
567954.543,4469994.658,0.907
567954.05,4469994.134,0.743
567953.42,4469993.898,0.566
567952.9,4469993.946,0.322
567952.308,4469993.795,0.119
567952.857,4469990.747,0.121
567953.334,4469991.034,0.205
567953.908,4469991.244,0.477
567954.472,4469991.237,0.647
567955.209,4469991.235,0.8
567956.394,4469989.061,0.901
567955.975,4469988.79,0.814
567955.377,4469988.606,0.717
567954.722,4469988.363,0.501
567954.304,4469988.266,0.25
567953.549,4469988.236,0.154
567953.313,4469985.492,0.086
567953.946,4469985.609,0.197
567954.425,4469985.733,0.459
567955.096,4469985.672,0.713
567955.711,4469985.756,0.796
567956.302,4469985.781,0.885
567956.085,4469983.847,0.987
567955.543,4469983.475,0.901
567954.893,4469983.262,0.727
567954.574,4469983.107,0.439
567953.798,4469982.788,0.141
567954.202,4469980.314,0.147
567954.903,4469980.368,0.484
567955.614,4469980.452,0.722
567956.322,4469980.568,0.866
567956.848,4469980.391,0.918
567957.477,4469978.293,0.934
567956.672,4469977.855,0.845
567956.259,4469977.66,0.765
567955.645,4469977.293,0.522
567955.18,4469977.062,0.344
567955.399,4469974.442,0.117
567956.277,4469974.575,0.512
567957.071,4469974.465,0.721
567957.805,4469974.467,0.865
567958.798,4469972.36,0.943
567958.045,4469971.764,0.751
567957.288,4469971.517,0.563
567956.523,4469971.351,0.263
567956.952,4469968.574,0.166
567957.558,4469968.674,0.382
567958.14,4469968.663,0.559
567958.819,4469968.883,0.71
567959.449,4469969.059,0.864
567961.035,4469966.757,0.991
567960.691,4469966.111,0.88
567960.035,4469965.804,0.681
567959.506,4469965.565,0.55
567958.781,4469965.361,0.279
567958.128,4469964.957,0.133
567959.643,4469962.069,0.175
567960.333,4469962.308,0.336
567961.017,4469962.512,0.544
567961.506,4469962.742,0.672
567962.057,4469962.893,0.848
567963.412,4469960.869,1.011
567962.965,4469960.381,0.863
567962.345,4469960.128,0.703
567961.527,4469960.008,0.512
567960.897,4469959.637,0.288
567960.531,4469956.45,0.137
567961.255,4469956.534,0.214
567961.964,4469956.592,0.392
567962.532,4469956.743,0.506
567963.284,4469956.778,0.719
567963.893,4469956.961,0.866
567964.792,4469954.859,0.915
567964.419,4469954.326,0.839
567963.869,4469954.106,0.734
567963.005,4469953.733,0.586
567962.387,4469953.568,0.425
567961.53,4469953.485,0.267
567960.582,4469953.177,0.147
567961.617,4469949.916,0.248
567962.502,4469950.221,0.343
567963.177,4469950.367,0.456
567963.915,4469950.41,0.595
567964.496,4469950.46,0.734
567965.005,4469950.591,0.832
567965.706,4469948.826,0.935
567965.145,4469948.281,0.872
567964.381,4469948.092,0.74
567963.698,4469947.996,0.604
567962.919,4469947.92,0.434
567962.04,4469947.898,0.298
567962.596,4469945.046,0.326
567963.367,4469945.189,0.51
567964.309,4469945.185,0.645
567965.014,4469945.299,0.739
567965.85,4469945.559,0.873
567966.534,4469945.73,0.932
567967.506,4469943.038,1.021
567966.861,4469942.69,0.983
567966.269,4469942.3,0.879
567965.393,4469941.718,0.728
567964.591,4469941.557,0.597
567963.837,4469941.4,0.442
567963.536,4469937.865,0.11
567964.517,4469938.166,0.318
567965.206,4469938.307,0.47
567965.907,4469938.286,0.68
567966.53,4469938.417,0.785
567967.249,4469938.716,0.866
567968.564,4469936.637,1.024
567968.049,4469936.363,0.935
567967.046,4469935.771,0.754
567966.396,4469935.662,0.638
567965.305,4469935.455,0.353
567964.124,4469935.072,0.11
567965.732,4469932.554,0.298
567966.309,4469932.787,0.393
567966.978,4469933.048,0.588
567967.687,4469933.373,0.725
567968.247,4469933.613,0.858
567968.697,4469933.696,0.919
567970.367,4469931.254,0.894
567969.696,4469930.822,0.811
567969.013,4469930.354,0.662
567968.395,4469930.028,0.56
567967.563,4469929.764,0.419
567966.716,4469929.586,0.306
567965.968,4469929.456,0.119
567967.242,4469926.297,0.216
567967.98,4469926.628,0.362
567968.724,4469926.93,0.482
567969.605,4469927.153,0.594
567970.526,4469927.454,0.662
567971.29,4469927.849,0.776
567971.766,4469928.036,0.846
567972.987,4469926.409,0.986
567972.546,4469926.048,0.882
567971.693,4469925.534,0.777
567970.932,4469925.582,0.698
567970.174,4469925.528,0.634
567969.446,4469925.271,0.561
567968.431,4469924.933,0.451
567967.585,4469924.67,0.303
567966.771,4469924.397,0.098
567968.346,4469920.78,0.117
567969.424,4469921.121,0.357
567970.251,4469921.487,0.539
567971.112,4469921.81,0.646
567971.988,4469922.164,0.78
567972.851,4469922.419,0.861
567974.392,4469919.856,0.941
567973.715,4469918.72,0.835
567973.116,4469918.369,0.761
567972.401,4469917.88,0.569
567971.623,4469917.435,0.414
567971.072,4469917.026,0.26
567970.434,4469916.723,0.129
567972.196,4469913.875,0.136
567973.005,4469914.31,0.327
567973.892,4469914.421,0.528
567974.518,4469914.616,0.642
567975.288,4469914.922,0.757
567975.807,4469914.952,0.844
567977.375,4469912.559,0.902
567976.933,4469911.821,0.847
567976.171,4469911.383,0.755
567975.353,4469911.003,0.593
567974.582,4469910.751,0.444
567973.855,4469910.716,0.355
567973.296,4469910.504,0.141
567973.895,4469907.236,0.087
567974.56,4469907.488,0.232
567975.401,4469907.7,0.44
567976.161,4469907.835,0.551
567976.713,4469908.111,0.628
567977.46,4469908.027,0.704
567977.742,4469908.222,0.738
567979.645,4469905.67,0.985
567979.015,4469905.256,0.918
567978.337,4469904.717,0.796
567977.801,4469904.452,0.722
567976.855,4469903.884,0.516
567976.006,4469903.589,0.364
567975.015,4469903.391,0.127
567975.764,4469900.886,0.108
567976.43,4469901.095,0.329
567977.115,4469901.295,0.476
