Latitude_WGS84,Longitude_WGS84,Elev_m_NAVD88
41.540363,-83.692032,176.47
41.540366,-83.692038,176.46
41.540367,-83.692042,176.46
41.540371,-83.692048,176.46
41.540372,-83.692051,176.49
41.540374,-83.692055,176.50
41.540376,-83.692060,176.52
41.540378,-83.692066,176.53
41.540379,-83.692070,176.53
41.540380,-83.692074,176.55
41.540381,-83.692080,176.56
41.540382,-83.692084,176.58
41.540383,-83.692089,176.55
41.540384,-83.692094,176.59
41.540385,-83.692098,176.56
41.540386,-83.692103,176.56
41.540387,-83.692106,176.56
41.540388,-83.692111,176.56
41.540389,-83.692115,176.56
41.540391,-83.692121,176.54
41.540391,-83.692124,176.53
41.540394,-83.692129,176.56
41.540394,-83.692133,176.56
41.540397,-83.692137,176.57
41.540398,-83.692141,176.58
41.540400,-83.692145,176.59
41.540402,-83.692148,176.59
41.540404,-83.692152,176.56
41.540406,-83.692156,176.53
41.540408,-83.692160,176.55
41.540410,-83.692164,176.53
41.540412,-83.692167,176.53
41.540413,-83.692170,176.55
41.540415,-83.692173,176.58
41.540417,-83.692177,176.58
41.540419,-83.692180,176.56
41.540420,-83.692182,176.54
41.540422,-83.692186,176.55
41.540424,-83.692188,176.56
41.540425,-83.692191,176.59
41.540427,-83.692193,176.62
41.540429,-83.692197,176.66
41.540431,-83.692199,176.69
41.540434,-83.692203,176.69
41.540435,-83.692205,176.69
41.540437,-83.692209,176.69
41.540439,-83.692212,176.69
41.540441,-83.692214,176.66
41.540443,-83.692217,176.67
41.540445,-83.692220,176.63
41.540446,-83.692222,176.61
41.540448,-83.692225,176.62
41.540450,-83.692227,176.62
41.540451,-83.692230,176.61
41.540453,-83.692232,176.59
41.540454,-83.692234,176.61
41.540456,-83.692236,176.57
41.540457,-83.692237,176.59
41.540459,-83.692239,176.57
41.540460,-83.692242,176.57
41.540462,-83.692244,176.55
41.540463,-83.692246,176.56
41.540464,-83.692247,176.56
41.540466,-83.692251,176.55
41.540467,-83.692252,176.56
41.540468,-83.692254,176.55
41.540469,-83.692256,176.52
41.540471,-83.692258,176.56
41.540471,-83.692260,176.55
41.540473,-83.692262,176.56
41.540474,-83.692264,176.60
41.540475,-83.692266,176.62
41.540475,-83.692267,176.62
41.540476,-83.692270,176.57
41.540477,-83.692272,176.57
41.540478,-83.692274,176.60
41.540479,-83.692275,176.60
41.540479,-83.692277,176.60
41.540480,-83.692279,176.60
41.540480,-83.692281,176.61
41.540481,-83.692283,176.62
41.540481,-83.692284,176.63
41.540482,-83.692286,176.63
41.540482,-83.692288,176.64
41.540483,-83.692290,176.65
41.540483,-83.692292,176.67
41.540483,-83.692294,176.69
41.540483,-83.692295,176.70
41.540484,-83.692297,176.69
41.540484,-83.692299,176.72
41.540484,-83.692300,176.71
41.540484,-83.692302,176.70
41.540484,-83.692303,176.70
41.540484,-83.692304,176.69
41.540485,-83.692306,176.68
41.540484,-83.692307,176.70
41.540485,-83.692308,176.66
41.540485,-83.692310,176.70
41.540484,-83.692310,176.70
41.540486,-83.692312,176.73
41.540485,-83.692313,176.73
41.540486,-83.692314,176.71
41.540485,-83.692315,176.74
41.540485,-83.692316,176.74
41.540484,-83.692316,176.74
41.540484,-83.692316,176.74
41.540484,-83.692315,176.73
41.540484,-83.692316,176.74
41.540483,-83.692315,176.73
41.540483,-83.692315,176.71
41.540482,-83.692315,176.73
41.540482,-83.692314,176.75
41.540482,-83.692314,176.72
41.540481,-83.692313,176.73
41.540481,-83.692312,176.71
41.540481,-83.692312,176.73
41.540480,-83.692311,176.74
41.540480,-83.692311,176.73
41.540480,-83.692310,176.74
41.540479,-83.692310,176.74
41.540478,-83.692311,176.75
41.540477,-83.692311,176.74
41.540476,-83.692311,176.73
41.540475,-83.692311,176.75
41.540474,-83.692311,176.75
41.540472,-83.692310,176.74
41.540470,-83.692310,176.74
41.540468,-83.692310,176.76
41.540466,-83.692308,176.75
41.540463,-83.692308,176.76
41.540461,-83.692307,176.79
41.540458,-83.692304,176.77
41.540456,-83.692302,176.78
41.540452,-83.692300,176.78
41.540450,-83.692298,176.82
41.540447,-83.692294,176.81
41.540444,-83.692290,176.81
41.540441,-83.692286,176.83
41.540438,-83.692282,176.81
41.540435,-83.692277,176.84
41.540433,-83.692271,176.84
41.540430,-83.692267,176.81
41.540428,-83.692263,176.82
41.540425,-83.692256,176.79
41.540422,-83.692251,176.75
41.540420,-83.692245,176.78
41.540418,-83.692240,176.70
41.540415,-83.692236,176.71
41.540413,-83.692231,176.69
41.540410,-83.692226,176.66
41.540408,-83.692221,176.64
41.540406,-83.692218,176.64
41.540403,-83.692213,176.64
41.540400,-83.692207,176.63
41.540397,-83.692202,176.61
41.540394,-83.692197,176.59
41.540392,-83.692193,176.59
41.540389,-83.692188,176.57
41.540387,-83.692183,176.63
41.540384,-83.692177,176.65
41.540382,-83.692172,176.68
41.540380,-83.692166,176.70
41.540378,-83.692161,176.70
41.540376,-83.692154,176.68
41.540374,-83.692147,176.67
41.540372,-83.692143,176.64
41.540371,-83.692135,176.67
41.540368,-83.692129,176.65
41.540367,-83.692125,176.69
41.540363,-83.692114,176.59
41.540361,-83.692107,176.55
41.540359,-83.692101,176.52
41.540357,-83.692096,176.52
41.540355,-83.692090,176.52
41.540353,-83.692083,176.52
41.540351,-83.692077,176.49
41.540350,-83.692071,176.54
41.540349,-83.692064,176.53
41.540347,-83.692058,176.51
41.540346,-83.692053,176.45
41.540344,-83.692048,176.44
41.540343,-83.692040,176.40
41.540341,-83.692035,176.40
41.540340,-83.692027,176.34
41.540338,-83.692023,176.28
41.540336,-83.692017,176.25
41.540333,-83.692010,176.22
41.540330,-83.692004,176.18
41.540326,-83.691995,176.21
41.540324,-83.691990,176.41
41.540320,-83.691983,176.41
41.540317,-83.691979,176.42
41.540314,-83.691975,176.44
41.540311,-83.691969,176.44
41.540307,-83.691962,176.42
41.540304,-83.691958,176.42
41.540300,-83.691953,176.40
41.540296,-83.691947,176.37
41.540292,-83.691944,176.37
41.540287,-83.691938,176.33
41.540283,-83.691935,176.29
41.540278,-83.691930,176.29
41.540274,-83.691925,176.26
41.540270,-83.691920,176.21
41.540266,-83.691916,176.20
41.540262,-83.691911,176.14
41.540258,-83.691909,176.11
41.540253,-83.691904,176.09
41.540249,-83.691900,176.10
41.540245,-83.691897,176.10
41.540241,-83.691893,176.14
41.540237,-83.691889,176.08
41.540234,-83.691888,176.11
41.540230,-83.691884,176.15
41.540225,-83.691881,176.12
41.540222,-83.691879,176.16
41.540218,-83.691875,176.08
41.540216,-83.691875,176.10
41.540211,-83.691869,176.06
41.540209,-83.691869,176.04
41.540205,-83.691864,176.04
41.540202,-83.691863,175.96
41.540199,-83.691860,175.94
41.540195,-83.691858,175.92
41.540192,-83.691857,175.93
41.540189,-83.691855,175.95
41.540185,-83.691853,175.92
41.540182,-83.691852,175.94
41.540177,-83.691851,175.96
41.540174,-83.691848,175.93
41.540170,-83.691846,175.88
41.540166,-83.691844,175.95
41.540162,-83.691843,175.90
41.540156,-83.691842,175.92
41.540151,-83.691840,175.96
41.540146,-83.691838,175.95
41.540141,-83.691838,175.97
41.540138,-83.691837,175.93
41.540132,-83.691836,175.90
41.540128,-83.691835,175.93
41.540125,-83.691834,175.90
41.540120,-83.691833,175.86
41.540117,-83.691832,175.90
41.540113,-83.691830,175.82
41.540107,-83.691829,175.86
41.540104,-83.691827,175.85
41.540099,-83.691825,175.87
41.540094,-83.691821,175.87
41.540090,-83.691819,175.93
41.540085,-83.691817,175.90
41.540082,-83.691815,175.91
41.540078,-83.691813,175.92
41.540074,-83.691810,175.92
41.540070,-83.691807,175.89
41.540064,-83.691803,175.85
41.540059,-83.691799,175.81
41.540055,-83.691794,175.76
41.540049,-83.691790,175.75
41.540045,-83.691785,175.82
41.540040,-83.691778,175.73
41.540035,-83.691772,175.70
41.540032,-83.691767,175.64
41.540027,-83.691760,175.59
41.540024,-83.691756,175.65
41.540021,-83.691749,175.56
41.540018,-83.691747,175.46
41.540014,-83.691739,175.49
41.540010,-83.691734,175.50
41.540007,-83.691728,175.49
41.540005,-83.691723,175.44
41.540002,-83.691720,175.49
41.539998,-83.691714,175.47
41.539996,-83.691711,175.49
41.539993,-83.691706,175.53
41.539991,-83.691702,175.53
41.539987,-83.691698,175.57
41.539984,-83.691696,175.57
41.539981,-83.691691,175.57
41.539978,-83.691688,175.59
41.539976,-83.691685,175.63
41.539972,-83.691679,175.58
41.539969,-83.691674,175.69
41.539966,-83.691668,175.64
41.539963,-83.691662,175.64
41.539960,-83.691658,175.65
41.539956,-83.691652,175.67
41.539950,-83.691645,175.70
41.539945,-83.691638,175.74
41.539940,-83.691631,175.71
41.539936,-83.691625,175.71
41.539930,-83.691615,175.75
41.539924,-83.691607,175.86
41.539919,-83.691598,175.88
41.539915,-83.691590,175.94
41.539910,-83.691585,175.90
41.539905,-83.691580,175.93
41.539899,-83.691572,175.92
41.539894,-83.691569,175.93
41.539890,-83.691564,175.94
41.539885,-83.691558,175.91
41.539879,-83.691554,175.95
41.539873,-83.691547,175.98
41.539868,-83.691542,175.94
41.539860,-83.691534,176.00
41.539854,-83.691529,175.87
41.539848,-83.691524,175.90
41.539842,-83.691518,175.93
41.539837,-83.691513,175.94
41.539830,-83.691509,176.03
41.539824,-83.691504,176.05
41.539820,-83.691502,176.14
41.539813,-83.691498,176.12
41.539809,-83.691496,176.20
41.539804,-83.691493,176.24
41.539799,-83.691490,176.21
41.539795,-83.691489,176.19
41.539790,-83.691487,176.18
41.539786,-83.691485,176.21
41.539780,-83.691483,176.11
41.539776,-83.691482,176.18
41.539772,-83.691478,176.19
41.539765,-83.691476,176.16
41.539760,-83.691472,176.16
41.539753,-83.691468,176.14
41.539747,-83.691466,176.25
41.539741,-83.691463,176.32
41.539737,-83.691459,176.31
41.539733,-83.691458,176.25
41.539729,-83.691455,176.33
41.539723,-83.691452,176.27
41.539719,-83.691450,176.24
41.539710,-83.691446,176.16
41.539704,-83.691442,176.19
41.539699,-83.691441,176.12
41.539693,-83.691436,176.14
41.539687,-83.691434,176.31
41.539683,-83.691432,176.28
41.539679,-83.691430,176.30
41.539675,-83.691430,176.31
41.539670,-83.691429,176.30
41.539665,-83.691428,176.29
41.539661,-83.691428,176.30
41.539657,-83.691426,176.33
41.539653,-83.691425,176.37
41.539649,-83.691425,176.34
41.539645,-83.691425,176.33
41.539641,-83.691426,176.29
41.539637,-83.691425,176.33
41.539631,-83.691427,176.23
41.539627,-83.691426,176.26
41.539623,-83.691426,176.26
41.539619,-83.691426,176.32
41.539615,-83.691427,176.35
41.539610,-83.691428,176.36
41.539605,-83.691430,176.47
41.539599,-83.691430,176.52
41.539595,-83.691431,176.61
41.539591,-83.691430,176.61
41.539587,-83.691431,176.59
41.539582,-83.691431,176.60
41.539579,-83.691430,176.58
41.539576,-83.691429,176.55
41.539571,-83.691426,176.47
41.539568,-83.691424,176.50
41.539566,-83.691422,176.46
41.539564,-83.691419,176.42
41.539560,-83.691416,176.41
41.539559,-83.691414,176.42
41.539556,-83.691409,176.42
41.539554,-83.691407,176.44
41.539552,-83.691402,176.44
41.539551,-83.691399,176.50
41.539549,-83.691397,176.53
41.539547,-83.691393,176.53
41.539546,-83.691391,176.50
41.539545,-83.691388,176.46
41.539543,-83.691385,176.38
41.539541,-83.691383,176.40
41.539540,-83.691381,176.42
